vader_pos,vader_neu,vader_neg,compound_score
0.0,1.0,0.0,0.0
0.0,0.526,0.474,-0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.172,0.828,0.0,0.4019
0.0,1.0,0.0,0.0
0.365,0.635,0.0,0.3182
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.196,0.804,0.0,0.2382
0.24,0.76,0.0,0.6249
0.0,0.822,0.178,-0.0772
0.828,0.172,0.0,0.5859
0.263,0.737,0.0,0.6124
0.0,0.835,0.165,-0.1967
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.153,0.847,0.0,0.6597
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.244,0.756,0.0,0.4404
0.0,1.0,0.0,0.0
0.263,0.595,0.142,0.3472
0.0,1.0,0.0,0.0
0.398,0.602,0.0,0.5106
0.38,0.62,0.0,0.5994
0.583,0.417,0.0,0.4215
0.385,0.615,0.0,0.3612
0.298,0.628,0.073,0.6486
0.0,1.0,0.0,0.0
0.581,0.419,0.0,0.4173
0.506,0.494,0.0,0.6249
0.0,1.0,0.0,0.0
0.1,0.733,0.167,-0.25
0.0,0.807,0.193,-0.4341
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.271,0.729,0.0,0.6369
0.818,0.182,0.0,0.5423
0.209,0.791,0.0,0.2755
0.0,0.894,0.106,-0.3612
0.108,0.892,0.0,0.1779
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.044,0.956,0.0,0.0772
0.0,1.0,0.0,0.0
0.333,0.667,0.0,0.7579
0.0,1.0,0.0,0.0
0.14,0.86,0.0,0.0772
0.0,1.0,0.0,0.0
0.126,0.874,0.0,0.3182
0.0,1.0,0.0,0.0
0.262,0.738,0.0,0.4939
0.139,0.861,0.0,0.3774
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.697,0.303,0.0,0.8481
0.0,0.769,0.231,-0.4588
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.368,0.632,0.0,0.541
0.76,0.24,0.0,0.8591
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.238,0.762,0.0,0.3612
0.0,1.0,0.0,0.0
0.0,0.844,0.156,-0.1695
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.898,0.102,-0.1779
0.134,0.866,0.0,0.1406
0.0,1.0,0.0,0.0
0.128,0.872,0.0,0.3612
0.559,0.441,0.0,0.5859
0.0,1.0,0.0,0.0
0.106,0.894,0.0,0.0772
0.0,0.81,0.19,-0.2755
0.251,0.749,0.0,0.57
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.5994
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.362,0.531,0.106,0.6486
0.0,1.0,0.0,0.0
0.115,0.885,0.0,0.0772
0.064,0.838,0.098,-0.296
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.359,0.641,0.0,0.6808
0.0,1.0,0.0,0.0
0.162,0.711,0.127,0.1376
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.383,0.617,0.0,0.4767
0.069,0.836,0.096,-0.2263
0.0,1.0,0.0,0.0
0.077,0.923,0.0,0.128
0.0,1.0,0.0,0.0
0.346,0.654,0.0,0.6486
0.245,0.642,0.113,0.3612
0.0,1.0,0.0,0.0
0.091,0.909,0.0,0.0258
0.351,0.649,0.0,0.4019
0.19,0.81,0.0,0.6597
0.385,0.615,0.0,0.3612
0.0,0.563,0.437,-0.4767
0.046,0.8,0.154,-0.4019
0.385,0.615,0.0,0.3612
0.0,1.0,0.0,0.0
0.0,0.794,0.206,-0.0772
0.0,1.0,0.0,0.0
0.13,0.87,0.0,0.128
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.064,0.936,0.0,0.0772
0.267,0.733,0.0,0.4588
0.124,0.876,0.0,0.5256
0.577,0.423,0.0,0.6249
0.3,0.7,0.0,0.5927
0.0,1.0,0.0,0.0
0.302,0.698,0.0,0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.247,0.53,0.223,0.0572
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.377,0.623,-0.5106
0.0,1.0,0.0,0.0
0.197,0.803,0.0,0.4019
0.0,1.0,0.0,0.0
0.204,0.796,0.0,0.7096
0.146,0.688,0.166,-0.089
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.2,0.8,0.0,0.3612
0.0,1.0,0.0,0.0
0.204,0.467,0.329,-0.5693
0.089,0.911,0.0,0.2144
0.31,0.69,0.0,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.719,0.281,-0.8126
0.0,0.641,0.359,-0.4215
0.0,1.0,0.0,0.0
0.222,0.778,0.0,0.4019
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.18,0.82,0.0,0.296
0.0,1.0,0.0,0.0
0.268,0.732,0.0,0.5106
0.0,1.0,0.0,0.0
0.0,0.899,0.101,-0.2263
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.412,0.588,0.0,0.6369
0.231,0.769,0.0,0.4019
0.274,0.726,0.0,0.5267
0.0,1.0,0.0,0.0
0.259,0.741,0.0,0.2732
0.0,0.645,0.355,-0.5106
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.5574
0.487,0.513,0.0,0.9217
0.0,0.408,0.592,-0.4404
0.0,1.0,0.0,0.0
0.307,0.693,0.0,0.4767
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.683,0.317,0.0,0.8234
0.0,1.0,0.0,0.0
0.064,0.936,0.0,0.128
0.0,1.0,0.0,0.0
0.577,0.423,0.0,0.6249
0.184,0.816,0.0,0.6597
0.0,1.0,0.0,0.0
0.291,0.709,0.0,0.8415
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.032,0.858,0.11,-0.4902
0.0,0.901,0.099,-0.296
0.215,0.785,0.0,0.6249
0.41,0.59,0.0,0.8957
0.269,0.57,0.161,0.2732
0.162,0.584,0.253,-0.34
0.435,0.565,0.0,0.7717
0.113,0.841,0.045,0.2732
0.35,0.65,0.0,0.5106
0.0,1.0,0.0,0.0
0.067,0.464,0.469,-0.8316
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.224,0.776,0.0,0.6825
0.0,0.769,0.231,-0.34
0.0,0.854,0.146,-0.5563
0.221,0.779,0.0,0.5267
0.175,0.825,0.0,0.5574
0.0,1.0,0.0,0.0
0.403,0.597,0.0,0.6597
0.0,1.0,0.0,0.0
0.556,0.444,0.0,0.3612
0.0,1.0,0.0,0.0
0.148,0.852,0.0,0.6597
0.0,1.0,0.0,0.0
0.514,0.486,0.0,0.7472
0.474,0.526,0.0,0.6597
0.326,0.674,0.0,0.4404
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.313,0.601,0.085,0.8672
0.252,0.748,0.0,0.4019
0.0,1.0,0.0,0.0
0.315,0.685,0.0,0.3182
0.0,1.0,0.0,0.0
0.255,0.745,0.0,0.34
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.333,0.667,0.0,0.6705
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.2,0.8,0.0,0.4576
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,0.876,0.124,-0.6077
0.21,0.79,0.0,0.7096
0.263,0.737,0.0,0.6124
0.0,0.934,0.066,-0.2584
0.212,0.788,0.0,0.4995
0.0,1.0,0.0,0.0
0.0,0.715,0.285,-0.1513
0.0,0.743,0.257,-0.4234
0.0,1.0,0.0,0.0
0.214,0.786,0.0,0.5994
0.0,1.0,0.0,0.0
0.108,0.892,0.0,0.5574
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.386,0.614,0.0,0.8196
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.307,0.693,0.0,0.4767
0.0,1.0,0.0,0.0
0.103,0.897,0.0,0.4588
0.583,0.417,0.0,0.6808
0.577,0.423,0.0,0.6249
0.365,0.635,0.0,0.3182
0.506,0.494,0.0,0.6249
0.367,0.633,0.0,0.4404
0.0,1.0,0.0,0.0
0.406,0.594,0.0,0.6249
0.0,1.0,0.0,0.0
0.166,0.521,0.313,-0.3415
0.185,0.815,0.0,0.3612
0.0,1.0,0.0,0.0
0.202,0.798,0.0,0.5106
0.0,1.0,0.0,0.0
0.565,0.435,0.0,0.5994
0.213,0.787,0.0,0.2263
0.205,0.795,0.0,0.2023
0.212,0.788,0.0,0.5106
0.0,1.0,0.0,0.0
0.625,0.375,0.0,0.6124
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.412,0.588,0.0,0.4215
0.456,0.544,0.0,0.872
0.0,0.87,0.13,-0.128
0.0,0.886,0.114,-0.4822
0.457,0.543,0.0,0.8779
0.344,0.656,0.0,0.2732
0.0,1.0,0.0,0.0
0.147,0.853,0.0,0.2263
0.0,0.894,0.106,-0.0772
0.0,1.0,0.0,0.0
0.141,0.859,0.0,0.3818
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.189,0.811,0.0,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.091,0.909,0.0,0.0772
0.286,0.714,0.0,0.25
0.185,0.815,0.0,0.3612
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.206,0.567,0.227,-0.0772
0.137,0.863,0.0,0.4019
0.231,0.769,0.0,0.2732
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.14,0.86,0.0,0.0772
0.0,1.0,0.0,0.0
0.634,0.366,0.0,0.6369
0.0,1.0,0.0,0.0
0.239,0.761,0.0,0.2235
0.0,1.0,0.0,0.0
0.241,0.729,0.03,0.8493
0.537,0.463,0.0,0.7003
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.26,0.651,0.089,0.4966
0.0,1.0,0.0,0.0
0.844,0.156,0.0,0.6597
0.0,1.0,0.0,0.0
