cleaned_comment,vader_pos,vader_neu,vader_neg,compound_score,ground_truth_label
kenapa di era pak prabowo semua langsung terungkap  krn pak jokowi ud ngumpulin semua bukti dan dikasih semua ke pak prabowo    rival kece,0.0,1.0,0.0,0.0,netral
"desa saya min  
desa plakaran  kec  moga kab  pemalang
lurahnya sudah    th satu keluarga  dua periode suaminya  dua periode istrinya   sekarang mau anaknya  
periksa desa saya pak jaksa tolong",0.103,0.897,0.0,0.4588,positif
ternyata bangsa kita sekaya itu,0.31,0.69,0.0,0.5574,positif
andai perampasan aset udh di sahkan,0.366,0.407,0.228,0.1779,positif
saya yakin di era bapak prabowo indonesia maju,0.35,0.65,0.0,0.5106,positif
mantap ternak mulyono satu persatu terungkap tinggal master mind nya  menyala pak jendral prabowo,0.0,1.0,0.0,0.0,netral
apakah ada yg lbh besar dari kasus  yg sdh diungkap tsb,0.0,1.0,0.0,0.0,netral
semoga bapak jaksa agung st burhanuddin selalu dalam lindungan allah swt aamiin yaa robbal aalamiin,0.244,0.756,0.0,0.4404,positif
nilainya bkan lagi m man ta triliunan,0.255,0.745,0.0,0.34,positif
mainya triliun buset,0.0,1.0,0.0,0.0,netral
kayanya gue gak kaget lagi deh denger duit triliunan,0.0,0.844,0.156,-0.1695,negatif
mas adam mantap,0.577,0.423,0.0,0.6249,positif
kpk tujuannya kmn,0.0,1.0,0.0,0.0,netral
"sekarang gue tau anggaran untuk makan gratis anak sekolah dari mana
menyala pak prabowo",0.202,0.798,0.0,0.5106,positif
uang  sitaan ini di kemanain ya,0.0,1.0,0.0,0.0,netral
ternyata indonesia  sebenrnya kaya    tapi kenapa rakyat masih susah cari kerja,0.107,0.742,0.151,-0.2382,negatif
kami masyarakat indonesia percaya akan kepemimpinan bpk st burhanuddin menjadi jaksa agung ntuk   periode  trimakasih pak presiden jokowi dan pak presiden prabowo subianto,0.153,0.847,0.0,0.6597,positif
sehat selalu bpk st burhanuddin  rakyat butuh org spt anda  seribu satu org spt anda,0.271,0.729,0.0,0.6369,positif
waw kl di gabung smw makan bergizi di sekolah makin cepat terwujud,0.0,1.0,0.0,0.0,netral
data di kumpulkan di era pak jokowi di eksekusi di era pak prabowo   menyala presidenku,0.0,1.0,0.0,0.0,netral
bersama pak burhanuddin kita bersih bersih kawan,0.537,0.463,0.0,0.7003,positif
buset ampe triliun  gua ora liat rupa nya kek mna,0.0,1.0,0.0,0.0,netral
kalo pemerintahan sudah bebenah kita sebagai rakyat juga harus bebenah  naikan sdm  jaga apa yang sudah pemerintah beri  manfaatkan,0.127,0.873,0.0,0.4404,positif
smoga negri ini lebih membaik skrng brada ditngn sesuai bidangnya,0.359,0.641,0.0,0.6808,positif
jangan diragukan lagi si kumis melengkung tidak bisa di tikung,0.209,0.791,0.0,0.2755,positif
tidak ada yg kebal ingat kata pak prabowo di yg punya kuasa sekarang  kalau pak jokowi masi di bawah,0.083,0.833,0.083,0.0,netral
pak periksa bpjs pak,0.0,1.0,0.0,0.0,netral
bpk jokowi yg ngelist data  dan bpk prabowo yg eksekusi  mantab,0.0,1.0,0.0,0.0,netral
jangan macam macam kalo pak prabowo yg naik ri,0.0,1.0,0.0,0.0,netral
negara kita sedang di tangan para pejabat yg pas di bidang ny,0.0,1.0,0.0,0.0,netral
waskita  bansos  bumn  dana haji bisa yok,0.0,1.0,0.0,0.0,netral
alasan pak prabowo masih memilih pak st burhanuddin jadi ja,0.0,1.0,0.0,0.0,netral
sebenarnya kita sudah merdeka kalian sadar nggk sih,0.0,1.0,0.0,0.0,netral
utang negara sedang dipulihkan,0.304,0.38,0.316,-0.0258,netral
mantap prabowo dan para mentri  nya,0.506,0.494,0.0,0.6249,positif
ayo lebih semangat lagi pak bersih bersihnya,0.683,0.317,0.0,0.8234,positif
kejaksaan kita lagi jaya  nya,0.0,1.0,0.0,0.0,netral
sek sekk aq kok ratau delok kpk lgsung grcep la trs kpk krjaan opo iki,0.0,1.0,0.0,0.0,netral
ternyata duit kita banyak ges     harusnya bisa nih bikin rakyat lebih sejahtera  dari ekonomi  pendidikan  kesehatan  dll,0.124,0.876,0.0,0.5256,positif
bisa bikin rumah rakyat indo yg blom punya rumah,0.0,1.0,0.0,0.0,netral
smua sudah ada di catatan pak prabowo  inilah waktu yg tepat,0.0,1.0,0.0,0.0,netral
kalo balik modalnya sebanyak ini  program makan gratis mah kecil  keren smoga negara kita bs lebih baik lagi kedepannya,0.41,0.59,0.0,0.8957,positif
hakim saja ditangkap oleh pak jaksa   mantaap,0.0,0.693,0.307,-0.4767,netral
itu alasan kt pilih prabowo,0.0,1.0,0.0,0.0,netral
lah tugas kpk apaan,0.0,1.0,0.0,0.0,netral
kalo ditotal brp duit itu  ternyata duit skrg susah dicari krn pada ngmpul disana,0.0,0.915,0.085,-0.1027,negatif
"boby kartanegara urus tikus tikus selokan
kejaksaan gaada backingan gua
bobby kartanegara ada pak prabowo
kejaksaan siap laksanakan",0.125,0.799,0.076,0.1027,positif
lanjutkan intregritasmu pak  semoga sehat slalu,0.403,0.597,0.0,0.6597,positif
pertahankan jaksa agung,0.0,1.0,0.0,0.0,netral
sukses  alloh beserta orang  yg lurus,0.583,0.417,0.0,0.6808,positif
kejagung mantap kami bangga memiliki kalian bagus nya kalian yg duduk di mk,0.457,0.543,0.0,0.8779,positif
pertamina apa kabar,0.0,1.0,0.0,0.0,netral
kemana saja uang yg telah di sita,0.0,1.0,0.0,0.0,netral
seht sllu paman,0.0,1.0,0.0,0.0,netral
bukannya hakim mogok minta naik gaji belum lama ini,0.0,0.87,0.13,-0.128,negatif
mantap pa bela yg benar semoga dpt pahala buat nanti   maju trus pa,0.688,0.312,0.0,0.9217,positif
"coba perhatikan kekayan para jaksa diwilayah anda 
bisa gk diterapkan teori pembuktian terbalik asal usul hartanya",0.0,0.949,0.051,-0.1027,negatif
mantap bapak kejagung di era bapak prabowo subianto presiden ri satu persatu kasus mafia hukum dan koruptor di tangkap oleh bapak kejagung,0.045,0.863,0.092,-0.3818,netral
bpk kejaksaan agung tolong beri himbauan di seluruh indonesia audit seluruh kepala desa di indonesia tanpa kecuali klo mmg mau memberantas korupsi,0.141,0.859,0.0,0.3818,positif
podarn lh,0.0,1.0,0.0,0.0,netral
sangat suka,0.581,0.419,0.0,0.4173,positif
kejaksaan agung ri memang luar biasa,0.0,1.0,0.0,0.0,netral
makelar kasus,0.0,1.0,0.0,0.0,netral
pertamina gimana kabarnya ya,0.0,1.0,0.0,0.0,netral
sudah sudahlah,0.0,1.0,0.0,0.0,netral
semoga sehat selalu pak burhannudin bersama tim  semoga selaluu dilindungi oleh allah orang orang yg ingin indonesia lebih baik,0.487,0.513,0.0,0.9217,positif
kasus dinasti gmn,0.0,1.0,0.0,0.0,netral
makin menyala msh byk pr blm kades penjabat pengusaha yg merugikan rakyat bumm dan pertambangan tolong dimiskin kan dan kerja sm penegak hukum d intel,0.069,0.836,0.096,-0.2263,negatif
subhanallah,0.0,1.0,0.0,0.0,positif
assalamu alaikum   mantaap,0.0,1.0,0.0,0.0,positif
kaya nya masih banyak lagi kasus  yg blm terungkap     kejaksaan,0.205,0.795,0.0,0.5574,netral
kasus pertamina apa kabar,0.0,1.0,0.0,0.0,netral
mantap jaksa agung,0.672,0.328,0.0,0.6249,positif
mantep pak jaksa agung,0.0,1.0,0.0,0.0,netral
sidang terbuka  jangan nanti akhirnya cctv hilang biar rakyak tau dan tidak dbahongi,0.0,0.899,0.101,-0.2263,negatif
pikirkan   sebab  akibatnya   pak hakim   pesan rakyat nkri,0.0,1.0,0.0,0.0,netral
drama yg tak sesuai tupoksi,0.0,1.0,0.0,0.0,netral
mntp pk,0.0,1.0,0.0,0.0,netral
semoga istikomah tegas disiplin dgn rido   ijin alloh berkah umurnya,0.404,0.596,0.0,0.7269,positif
mantap  kejagung dan jajaran nya,0.506,0.494,0.0,0.6249,positif
mantap pak jaksa agung,0.577,0.423,0.0,0.6249,positif
lanjutkan bravo kejagung ri,0.0,1.0,0.0,0.0,netral
"jt     jt
untuk bantuan dari presiden ri kepada universitas negeri
yg menghasilkan tiga koma lima milyar    
bantuin         jt
presiden",0.384,0.616,0.0,0.8624,positif
udang di balik batu,0.0,1.0,0.0,0.0,netral
semua hakim  kepolisian   dll,0.0,1.0,0.0,0.0,netral
blok medan,0.0,0.408,0.592,-0.4404,negatif
menteri kehutanan yg memberi mereka konsesi hutan termasuk hutan lindung untuk diubah jadi kebun sawit kayak zulkifli hasan tidak pernah diperiksa,0.19,0.81,0.0,0.6597,positif
kelihatan spt orang bersih semua,0.634,0.366,0.0,0.6369,positif
jaksa super power,0.565,0.435,0.0,0.5994,positif
gmn keterlibatan para jaksa di daerah    kok tidak di periksa   contoh kasus keterlibatan oknum jaksa dikalimantan,0.0,1.0,0.0,0.0,netral
masih tebang pilih,0.0,1.0,0.0,0.0,netral
byk istri,0.0,1.0,0.0,0.0,negatif
super,1.0,0.0,0.0,0.5994,positif
"of pejuang kampung babel semangat
 postingan ini dibagikan via tiktok lite  unduh tiktok lite untuk menikmati",0.34,0.605,0.056,0.7269,positif
just update jamwas sudah diganti bapak rudi margono dan kepala badan digantikan leo e simanjuntak,0.0,1.0,0.0,0.0,netral
okeh  super power   kebal hukum dan ga tersentuh   dpr ga faham tatanegara  bikin uu dgn kwenangan acak kadut,0.291,0.709,0.0,0.8415,positif
mohon distop jual beli jabatan klo mau negara ini jd super power,0.362,0.531,0.106,0.6486,positif
hanya intansi dinas sosial maling korupsi di intansi dinas sosial yang kebal hukum jabatan naik jadi maling di kab kutai timur,0.064,0.838,0.098,-0.296,negatif
store lihat  properti patung dewi keadilan ukuran     cm   tersedia di rp            uk    cm rp           uk    cm rp    ribu di,0.221,0.779,0.0,0.5267,positif
angka angka itu balik ke negaranya berapa,0.14,0.86,0.0,0.0772,positif
tangkap firly,0.0,1.0,0.0,0.0,netral
urang sunda ternyata keren euyy matapp maungna jabar,0.292,0.708,0.0,0.5106,positif
pertama pk dapat apa,0.0,1.0,0.0,0.0,netral
jos pak lanjutkan demi negara ini,0.0,1.0,0.0,0.0,positif
sound musik nya kegedean dari suara narasumber nya min,0.0,1.0,0.0,0.0,netral
bangga punya bapak maung di negeri ini,0.307,0.693,0.0,0.4767,positif
kapan kami diberi kepastian untuk para honorer dan tendik yang cuma r  dan r  pa  kami perlu kepastian bukan sekedar janji saja,0.26,0.651,0.089,0.4966,positif
sehat selalu pak jaksa agung ri,0.231,0.769,0.0,0.4019,positif
org sunda nih bos senggol dong,0.365,0.635,0.0,0.3182,positif
beda nya ada di kontrol om   kpk  wiwi  kejagung  wowo,0.0,1.0,0.0,0.0,netral
erlangga bahlil sulhan erick opung kapan ya,0.0,1.0,0.0,0.0,netral
gaass  poool bapak jaksah dan kpk,0.0,1.0,0.0,0.0,netral
mantaap goodjob kejaksaan agung ri dimudahkan dalam menjlkn tugas aamiin yaa rabbal alamiin,0.0,1.0,0.0,0.0,positif
krennn blgnya krn gk kesenggol aja pak,0.0,1.0,0.0,0.0,netral
pengalihan isu soalnya si budi ari terjerat kasus judol makanya mengkambing hitamkan tom lembong,0.0,0.895,0.105,-0.4019,negatif
suai anggarannya dukman jg cukup besar,0.0,1.0,0.0,0.0,netral
bingung siapa yg ngasih peringkatnya,0.0,0.635,0.365,-0.3182,negatif
banyak punglinya,0.0,1.0,0.0,0.0,netral
surwe pagar laut itu ya bagus   tapi kenyataanya,0.196,0.804,0.0,0.2382,positif
mau tanya  yg cewek itu tb nya brp ya,0.14,0.86,0.0,0.0772,positif
kak mau nanya  itu penempatan kita bisa milih atau ditentuin dari sana,0.222,0.778,0.0,0.4019,positif
kapan dibuka kak,0.0,1.0,0.0,0.0,netral
untuk formasi keshtn bisa kak,0.0,1.0,0.0,0.0,netral
kalau jaksa boleh pakai kacamata ya,0.0,1.0,0.0,0.0,netral
kak kalo d  sistem informasi bisa daftar juga gak kak di kejaksaan itu,0.0,1.0,0.0,0.0,netral
sekarang websate nya ganti lg yo,0.0,1.0,0.0,0.0,netral
pakai ijazah d  ipk      pas itu aman di administrasi kak,0.225,0.775,0.0,0.4404,positif
kak syarat bmi masih berlaku,0.0,1.0,0.0,0.0,netral
ka kalau kejaksaan di pindahin ga si,0.0,1.0,0.0,0.0,netral
alhamdulillah tuhan maha baik   anaku lolos cpns kejaksaan tahun ini,0.267,0.733,0.0,0.4588,positif
bismillah ya allah      rezeki hamba ya allah buat orang tua,0.231,0.769,0.0,0.2732,positif
bismillah ya allah  mudahkan lah hambamu ini ya allah,0.38,0.62,0.0,0.5994,positif
s h  nya susah ya allah,0.0,0.682,0.318,-0.1027,netral
amin dalam nama tuhan yesus,0.259,0.741,0.0,0.2732,positif
amin permudahkan tuhan yesus,0.625,0.375,0.0,0.6124,positif
itu yakin tempat tidur nya hakim ali muhtarom,0.315,0.685,0.0,0.3182,positif
harta hakim ali muhtarom tersebar dijepara,0.0,1.0,0.0,0.0,netral
untung uang cash ku yang   m aku simpen rapih di dalam pikiran ku   jadi gak bakal ada yang nemuin  amanlah pokoknya,0.263,0.595,0.142,0.3472,positif
masak ya itu tempat tidur nya hakim ali muhtarom,0.252,0.748,0.0,0.4019,positif
trnyta     m cmn seiprit itu,0.0,1.0,0.0,0.0,netral
"hakim
jaksa
polisi
tidak ada yg betul sampai kiamat pun juga bakal begini
gimana ya cara mengatasi institusi mereka ini padahal isntitusi mereka tulang punggung penegak hukum loh mau dibawa kemana negara ini kedepan ya tuhan",0.072,0.928,0.0,0.3612,positif
beruntung ny istri hakim ali muhtarom bisa melihat n memegang uang     m secara lgsung,0.191,0.809,0.0,0.5106,positif
pertamina gk ada kabarnya,0.0,1.0,0.0,0.0,netral
yg jd pertanyaan kok bisa sampe tau di kolong kasur,0.0,1.0,0.0,0.0,netral
nggk yakin juga masak sekelas hakim tempat kasurnya seperti itu,0.162,0.711,0.127,0.1376,positif
hakim hakim itu harus diselidiki  kok bisa dapat uang segitu banyak,0.0,1.0,0.0,0.0,netral
sampe sekarang masih mikir duit hasil sitaan dan barang sitaan lari nya kemana ya,0.091,0.909,0.0,0.0258,netral
it dolar apa rupiah kalau   m aja udh hampir pul apa lgi    m lucu wkwkw,0.251,0.749,0.0,0.57,positif
ngk prcaya dikit amat,0.0,1.0,0.0,0.0,netral
orang yg menghujat korupsi hanyalah mereka yg gk kebagian  kalo kebagian juga pasti diem,0.137,0.863,0.0,0.4019,positif
masa iya tempat tdr hakim kumuh gitu,0.0,1.0,0.0,0.0,netral
muhtarom viral,0.0,1.0,0.0,0.0,netral
sgtu kok  m  klo rupiah  m   tmpt tdur  mngkin masih dollar,0.0,1.0,0.0,0.0,netral
"uang sitaan selama ini lari kemana
     
pantau",0.0,1.0,0.0,0.0,netral
kalo duit di sita begini nnti lari kemana ya,0.2,0.8,0.0,0.3612,positif
m ternyata semungil itu ya,0.0,1.0,0.0,0.0,netral
ali muhtarom  pemberi vonis lepas korupsi persetujuan ekspor minyak kelapa sawit  cpo  periode,0.333,0.667,0.0,0.6705,positif
"orang bbilang yakin  m segitu  
 saya bawa  m aja   tas gede keberatan kecuali dalam bentuk dolar 
bro baca caption sebelum komen  sangat disayngkan masih ada warga indonesia yang minim literasi",0.0,1.0,0.0,0.0,netral
kenapa tuyul tidak mencium aroma uang,0.0,1.0,0.0,0.0,netral
kejaksaan agung menangkap kejaksaan negeri   kocak negeri ini,0.0,1.0,0.0,0.0,netral
sdgkan prabowo mau menaikan gaji hakim   cek ada video nya beliau ngomong,0.091,0.909,0.0,0.0772,positif
oh     m itu seukuran itu,0.0,1.0,0.0,0.0,netral
masa hakim tempat tidur nya bgtu,0.0,1.0,0.0,0.0,netral
dolar tah  coba uang rupiah     m  ngk muat tu tas,0.0,0.81,0.19,-0.2755,negatif
masa kamar dn tempat tidur hakim kotor berantakan   apa ga salah itu,0.146,0.688,0.166,-0.089,negatif
rumah hakim kol kyak begitu ya,0.368,0.632,0.0,0.541,positif
ini hakim plg titipan jokowi,0.205,0.795,0.0,0.2023,positif
kejagung kok bisa tau yg kayak gini ya  kl drmh mulyono tau gak ya,0.0,1.0,0.0,0.0,negatif
kok dikit amat     m cuma segitu penampakannya apa dalam bentuk dolar,0.128,0.872,0.0,0.3612,positif
buka nya buru buru amat mentang mentang itu isi nya duit,0.0,1.0,0.0,0.0,netral
bedanya kpk ama kejagung apaan yaa  perasaan yang nanganin kasus korupsi kejagung mulu belakangan ini,0.064,0.936,0.0,0.128,netral
jelek banget kasur y padahal profesi y hakim mau beli kasur semahal apapun pasti bs,0.0,0.854,0.146,-0.5563,negatif
kasur hakim ko kaya kasur suzana,0.419,0.581,0.0,0.5574,netral
liat rumahnya hakim golongan menengah ke bawah uangnya di simpan dan lapisin dg rapih artinya mungkin beliau ga niat nerima gratifikasi bisa jadi klo ga terima nyawa dia atau keluarga terancam,0.094,0.82,0.086,0.0516,positif
hakim ko kamarnya gt,0.344,0.656,0.0,0.2732,positif
uang sitaannya bisa buat subsidi bbm rakyat atw bayar utang jokowi dan sri mulyani ke china,0.0,0.894,0.106,-0.3612,negatif
coba gekedah ke rumah mbah mul untuk mencari ijazah palsu berani ga ya,0.166,0.683,0.151,0.0772,positif
katanya hakim itu wakil tuhan,0.0,1.0,0.0,0.0,netral
hebat ah hakim yg menyidang kasus tom lembong duluan hakim nya yg masuk bui,0.215,0.785,0.0,0.6249,positif
uang segitu tempat begono,0.0,1.0,0.0,0.0,netral
trus wowo kasian dengan hakim  indonesia,0.0,0.822,0.178,-0.0772,negatif
ternyata godaan dari nona celline yg kuat,0.237,0.647,0.115,0.4019,positif
celine bangga punya bapak,0.383,0.617,0.0,0.4767,positif
ternyata tni pemain jg ya,0.0,1.0,0.0,0.0,netral
pernah datang militer kesini     sekali lagi militer,0.0,1.0,0.0,0.0,netral
apalagi kalau ruu tni sampe disahkan,0.0,1.0,0.0,0.0,netral
mba inul pasti bangga sama suami ny,0.307,0.693,0.0,0.4767,positif
maap ini suaminya inul daratista ternyata jaksa agung tah,0.0,0.894,0.106,-0.0772,negatif
seorang militer  apa jadinya jika ruu tni disahkan,0.0,1.0,0.0,0.0,netral
ternyata banyak yg di rahasiakan di negara ini ya,0.0,1.0,0.0,0.0,netral
kaga cokelat kaga ijo sebenernya sama aja cuma klo si ijo mainnya lebih rapi,0.386,0.614,0.0,0.8196,negatif
kapan lagi punya jaksa kaya gini  cuma di era prabowo,0.185,0.815,0.0,0.3612,positif
sy ingin mengabdi  usia sy sudah tua  senada dengan president,0.106,0.894,0.0,0.0772,positif
ada pewaris dari almarhum pa baharuddin lopa,0.0,1.0,0.0,0.0,netral
preeeeetz istri saja dah lima  dgn pasilitas istri presiden,0.0,1.0,0.0,0.0,netral
periksa keluarga mulyono,0.0,1.0,0.0,0.0,netral
berani sekali bpk ini   salam hormat pak  diancam diluluhlantakan aja bpk hadapi dgn tenang  semoga allah melindungimu pak,0.245,0.642,0.113,0.3612,positif
kita di ancam itu bukan takut kehilangan nyawa  tapi takut kehilangan anggota keluarga kita,0.204,0.467,0.329,-0.5693,negatif
rupanya jaksa agung pernah di intervensi dan diancam tni,0.0,0.769,0.231,-0.4588,negatif
tni bersama bandar,0.0,1.0,0.0,0.0,negatif
"apalagi celine
godaannya besar bgt",0.0,1.0,0.0,0.0,netral
